gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
IL17RC	ENSG00000163702.18	30	14.130000114440918	11.710000038146973	True
INF2	ENSG00000203485.12	9	14.399999618530273	14.0600004196167	True
INO80E	ENSG00000169592.14	14	22.969999313354492	9.779999732971191	True
INSR	ENSG00000171105.13	7	14.210000038146973	0.30000001192092896	False
INTS6	ENSG00000102786.14	20	3.6500000953674316	2.630000114440918	True
IQCC	ENSG00000160051.11	3	1.9700000286102295	1.2699999809265137	True
IRX4	ENSG00000113430.9	8	5.369999885559082	0.5199999809265137	False
IRX5	ENSG00000176842.14	5	1.5499999523162842	1.3700000047683716	True
ITGA6	ENSG00000091409.14	11	13.8100004196167	4.900000095367432	True
ITIH4	ENSG00000055955.15	15	3.2200000286102295	1.899999976158142	True
KALRN	ENSG00000160145.15	22	2.7699999809265137	0.7799999713897705	False
KAT5	ENSG00000172977.12	17	15.149999618530273	9.1899995803833	True
KCTD7	ENSG00000243335.9	11	4.809999942779541	1.4700000286102295	True
KDM5D	ENSG00000012817.15	10	12.960000038146973	8.470000267028809	True
KIAA1217	ENSG00000120549.17	17	10.079999923706055	5.590000152587891	True
KIF12	ENSG00000136883.13	8	3.430000066757202	1.6399999856948853	True
KIF13A	ENSG00000137177.19	13	11.640000343322754	2.759999990463257	True
KIT	ENSG00000157404.15	4	3.7699999809265137	0.09000000357627869	False
KLC1	ENSG00000126214.21	27	33.58000183105469	10.34000015258789	True
KLF6	ENSG00000067082.14	7	22.149999618530273	2.180000066757202	True
KLHDC1	ENSG00000197776.7	6	4.5	0.10000000149011612	False
KLHDC2	ENSG00000165516.10	11	29.889999389648438	9.720000267028809	True
KLHL20	ENSG00000076321.10	5	8.050000190734863	1.2200000286102295	True
KLHL42	ENSG00000087448.9	4	10.1899995803833	1.0199999809265137	True
KLK15	ENSG00000174562.13	7	0.25	0.18000000715255737	False
KLK2	ENSG00000167751.12	23	1107.0699462890625	772.4000244140625	True
LETMD1	ENSG00000050426.15	38	10.989999771118164	8.079999923706055	True
LIMCH1	ENSG00000064042.17	22	11.510000228881836	4.75	True
LMO7	ENSG00000136153.19	27	8.180000305175781	6.059999942779541	True
LPXN	ENSG00000110031.12	5	7.730000019073486	0.8399999737739563	False
LYRM1	ENSG00000102897.9	11	9.859999656677246	7.78000020980835	True
MACF1	ENSG00000127603.23	34	27.809999465942383	21.31999969482422	True
MAD1L1	ENSG00000002822.15	23	7.130000114440918	6.579999923706055	True
MAD2L2	ENSG00000116670.14	9	19.209999084472656	2.180000066757202	True
MAF	ENSG00000178573.6	3	12.800000190734863	2.0399999618530273	True
MAGED2	ENSG00000102316.16	13	62.20000076293945	35.54999923706055	True
MAGI1	ENSG00000151276.23	18	5.449999809265137	0.9300000071525574	False
MAGI2	ENSG00000187391.19	43	2.4100000858306885	1.0	True
MAGI3	ENSG00000081026.18	6	2.0199999809265137	0.5199999809265137	False
MAK	ENSG00000111837.11	5	0.09000000357627869	0.0	False
MAP3K7	ENSG00000135341.17	6	4.760000228881836	4.130000114440918	True
MAP4	ENSG00000047849.21	16	46.209999084472656	21.459999084472656	True
MAPT	ENSG00000186868.15	18	2.5199999809265137	0.9100000262260437	False
MARK3	ENSG00000075413.17	26	8.399999618530273	7.289999961853027	True
MBNL1	ENSG00000152601.17	24	11.020000457763672	5.21999979019165	True
MBNL2	ENSG00000139793.18	6	9.239999771118164	6.579999923706055	True
MCM3	ENSG00000112118.18	7	15.989999771118164	1.2599999904632568	True
MCM7	ENSG00000166508.17	13	30.709999084472656	6.119999885559082	True
MCPH1	ENSG00000147316.12	7	2.7100000381469727	2.049999952316284	True
ME3	ENSG00000151376.16	12	19.15999984741211	7.039999961853027	True
MEF2B	ENSG00000213999.15	4	3.509999990463257	0.8799999952316284	False
MEFV	ENSG00000103313.12	14	0.14000000059604645	0.0	False
MELK	ENSG00000165304.7	14	0.019999999552965164	0.0	False
MFF	ENSG00000168958.19	27	12.630000114440918	10.710000038146973	True
MICAL2	ENSG00000133816.13	31	6.119999885559082	3.069999933242798	True
